id,product_code,url,품절 여부
66,10207556,https://www.reebonz.co.kr/events/28635/products/10207556/section/w-event_group-pl-1/45,
67,8707617,https://www.reebonz.co.kr/events/28635/products/8707617/section/w-event_group-pl-1/13?view_type=buy,
68,10201217,https://www.reebonz.co.kr/events/28635/products/10201217/section/w-event_group-pl-1/67,
69,10388252,https://www.reebonz.co.kr/events/28635/products/10388252/section/w-event_group-pl-1/8,
70,10201235,https://www.reebonz.co.kr/events/28635/products/10201235/section/w-event_group-pl-1/66,
71,8829289,https://www.reebonz.co.kr/events/28635/products/8829289/section/w-event_group-pl-1/13?view_type=buy,
72,10206578,https://www.reebonz.co.kr/events/28635/products/10206578/section/w-event_group-pl-1/64,
73,10201248,https://www.reebonz.co.kr/events/28635/products/10201248/section/w-event_group-pl-1/65,
74,9289140,https://www.reebonz.co.kr/events/28635/products/9289140/section/w-event_group-pl-1/18?view_type=buy,
75,10381902,https://www.reebonz.co.kr/events/28635/products/10381902/section/w-event_group-pl-1/5,
76,10383309,https://www.reebonz.co.kr/events/28635/products/10383309/section/w-event_group-pl-1/6,
77,10382637,https://www.reebonz.co.kr/events/28635/products/10382637/section/w-event_group-pl-1/9,
78,10381695,https://www.reebonz.co.kr/events/28635/products/10381695/section/w-event_group-pl-1/7,
79,10207421,https://www.reebonz.co.kr/events/28635/products/10207421/section/w-event_group-pl-1/70,
80,10207838,https://www.reebonz.co.kr/events/28635/products/10207838/section/w-event_group-pl-1/44,
81,8927756,https://www.reebonz.co.kr/events/28635/products/8927756/section/w-event_group-pl-1/25?view_type=buy,
82,10167192,https://www.reebonz.co.kr/events/28635/products/10167192/section/w-event_group-pl-1/5,
83,10150530,https://www.reebonz.co.kr/events/28635/products/10150530/section/w-event_group-pl-1/5,
84,10186417,https://www.reebonz.co.kr/events/28635/products/10186417/section/w-event_group-pl-1/1,
85,10186407,https://www.reebonz.co.kr/events/28635/products/10186407/section/w-event_group-pl-1/2,
86,10186379,https://www.reebonz.co.kr/events/28635/products/10186379/section/w-event_group-pl-1/3,
87,10113815,https://www.reebonz.co.kr/events/28635/products/10113815/section/w-event_group-pl-1/3,
88,10166845,https://www.reebonz.co.kr/events/28635/products/10166845/section/w-event_group-pl-1/33,
89,10199136,https://www.reebonz.co.kr/events/28635/products/10199136/section/w-event_group-pl-1/8,
90,10144090,https://www.reebonz.co.kr/events/28635/products/10144090/section/w-event_group-pl-1/2,
91,10359716,https://www.reebonz.co.kr/events/28635/products/10359716/section/w-event_group-pl-1/14,
92,10359314,https://www.reebonz.co.kr/events/28635/products/10359314/section/w-event_group-pl-1/21,
93,10345738,https://www.reebonz.co.kr/events/28635/products/10345738/section/w-event_group-pl-1/4,
94,10358952,https://www.reebonz.co.kr/events/28635/products/10358952/section/w-event_group-pl-1/11,
