id,product_code,url,hi
41,10449764,"['https://www.reebonz.co.kr/events/28635/products/10449764/section/w-event_group-pl-1/19', 'https://www.reebonz.co.kr/']"
52,10247392,https://www.reebonz.co.kr/events/28635/products/10247392/section/w-event_group-pl-1/41
54,10258362,https://www.reebonz.co.kr/events/28635/products/10258362/section/w-event_group-pl-1/63
77,10398943,https://www.reebonz.co.kr/events/28635/products/10398943/section/w-event_group-pl-1/20
149,10311252,https://www.reebonz.co.kr/events/28635/products/10311252/section/w-event_group-pl-1/14
157,10160082,https://www.reebonz.co.kr/events/28635/products/10160082/section/w-event_group-pl-2/14
163,10256941,https://www.reebonz.co.kr/events/28635/products/10256941/section/w-event_group-pl-1/33
214,10087380,https://www.reebonz.co.kr/events/28635/products/10087380/section/w-event_group-pl-1/1
244,10093639,https://www.reebonz.co.kr/events/28635/products/10093639/section/w-event_group-pl-1/8
248,9977975,https://www.reebonz.co.kr/events/28635/products/9977975/section/w-event_group-pl-1/13
278,9854638,https://www.reebonz.co.kr/events/28635/products/9854638/section/w-event_group-pl-1/13
302,9804219,https://www.reebonz.co.kr/events/28635/products/9804219/section/w-event_group-pl-1/22
343,9727214,https://www.reebonz.co.kr/events/28635/products/9727214/section/w-event_group-pl-1/2
356,9693790,https://www.reebonz.co.kr/events/28635/products/9693790/section/w-event_group-pl-2/2
360,9784631,https://www.reebonz.co.kr/events/28635/products/9784631/section/w-event_group-pl-3/22
375,9591848,https://www.reebonz.co.kr/events/28635/products/9591848/section/w-event_group-pl-1/16
377,9624240,https://www.reebonz.co.kr/events/28635/products/9624240/section/w-event_group-pl-1/16
384,9530849,https://www.reebonz.co.kr/events/28635/products/9530849/section/w-event_group-pl-1/7
410,9501569,https://www.reebonz.co.kr/products/9501569
414,9504608,https://www.reebonz.co.kr/products/9504608
415,9419241,https://www.reebonz.co.kr/events/28635/products/9419241/section/w-event_group-pl-1/5
424,9333557,https://www.reebonz.co.kr/events/28635/products/9333557/section/w-event_group-pl-1/11
446,9298892,https://www.reebonz.co.kr/events/28635/products/9298892/section/w-event_group-pl-1/37
452,9295936,https://www.reebonz.co.kr/events/28635/products/9295936/section/w-event_group-pl-2/2
547,8750133,https://www.reebonz.co.kr/events/28635/products/8750133/section/w-event_group-pl-1/7
