id,product_code,판매 URL,품절 여부
67,7883501,https://www.reebonz.co.kr/products/7883501/section/w-pmi_brand-direct_buy-1/6,
68,7883504,https://www.reebonz.co.kr/products/7883504/section/w-pmi_brand-direct_buy-1/5,
69,7892118,https://www.reebonz.co.kr/products/7892118/section/w-pmi_search_result-direct_buy-1/19,
70,7892238,https://www.reebonz.co.kr/products/7892238/section/w-pmi_categories-direct_buy-1/70,
71,7898931,https://www.reebonz.co.kr/products/7898931/section/w-pmi_categories-direct_buy-2/16,
72,7979510,https://www.reebonz.co.kr/products/7979510/section/w-pmi_search_result-direct_buy-1/1,
73,8067417,https://www.reebonz.co.kr/products/8067417/section/w-pmi_search_result-direct_buy-1/1,
74,8067597,https://www.reebonz.co.kr/products/8067597/section/w-pmi_search_result-direct_buy-1/1,
75,8088292,https://www.reebonz.co.kr/products/8088292/section/w-pmi_search_result-direct_buy-1/1,
76,8271950,https://www.reebonz.co.kr/products/8271950/section/w-pmi_search_result-direct_buy-1/1,
77,8294647,https://www.reebonz.co.kr/products/8294647/section/w-pmi_brand-direct_buy-1/7,
78,8340176,https://www.reebonz.co.kr/products/8340176/section/w-pmi_brand-direct_buy-1/30,
79,8342150,https://www.reebonz.co.kr/products/8342150/section/w-pmi_categories-direct_buy-1/25,
80,8342895,https://www.reebonz.co.kr/products/8342895/section/w-pmi_search_result-direct_buy-1/1,
81,8390218,https://www.reebonz.co.kr/products/8390218/section/w-pmi_categories-direct_buy-1/69,
82,8399041,https://www.reebonz.co.kr/events/28635/products/8399041/section/w-event_group-pl-1/8,
83,8410834,https://www.reebonz.co.kr/products/8410834/section/w-pmi_search_result-direct_buy-1/14,
84,8474282,https://www.reebonz.co.kr/products/8474282/section/w-pmi_search_result-direct_buy-1/8,
85,8537435,https://www.reebonz.co.kr/products/8537435/section/w-pmi_search_result-direct_buy-1/1,
86,8616962,https://www.reebonz.co.kr/events/31554/products/8616962/section/w-event-pl-2/9,
87,8626975,https://www.reebonz.co.kr/products/8626975/section/w-pmi_brand-direct_buy-1/1,
88,8632515,https://www.reebonz.co.kr/products/8632515/section/w-pmi_brand-direct_buy-1/4,
89,8644041,https://www.reebonz.co.kr/products/8644041/section/w-pmi_search_result-direct_buy-1/4,
90,8681594,https://www.reebonz.co.kr/events/31554/products/8681594/section/w-event-pl-2/10,
91,8709026,https://www.reebonz.co.kr/products/8709026/section/w-pmi_search_result-direct_buy-1/1,
92,8722691,https://www.reebonz.co.kr/events/28635/products/8722691/section/w-event_group-pl-1/10,
93,8750026,https://www.reebonz.co.kr/events/28635/products/8750026/section/w-event_group-pl-1/2,
94,8769664,https://www.reebonz.co.kr/products/8769664/section/w-pmi_categories-direct_buy-1/53,
95,8829165,https://www.reebonz.co.kr/events/28635/products/8829165/section/w-event_group-pl-1/17,
96,8829813,https://www.reebonz.co.kr/events/28635/products/8829813/section/w-event_group-pl-1/12,
97,8891506,https://www.reebonz.co.kr/events/28635/products/8891506/section/w-event_group-pl-1/14,
98,8920345,https://www.reebonz.co.kr/events/28635/products/8920345/section/w-event_group-pl-1/11,
99,8920513,https://www.reebonz.co.kr/events/28635/products/8920513/section/w-event_group-pl-1/14,
100,8921349,https://www.reebonz.co.kr/events/28635/products/8921349/section/w-event_group-pl-1/28,
101,9038164,https://www.reebonz.co.kr/events/28635/products/9038164/section/w-event_group-pl-1/11,
102,9038987,https://www.reebonz.co.kr/events/28635/products/9038987/section/w-event_group-pl-1/4,
103,9066931,https://www.reebonz.co.kr/events/28635/products/9066931/section/w-event_group-pl-1/3,
104,9067012,https://www.reebonz.co.kr/events/28635/products/9067012/section/w-event_group-pl-1/2,
105,9126553,https://www.reebonz.co.kr/events/28635/products/9126553/section/w-event_group-pl-1/1,
106,9126660,https://www.reebonz.co.kr/events/28635/products/9126660/section/w-event_group-pl-2/1,
107,9155030,https://www.reebonz.co.kr/events/28635/products/9155030/section/w-event_group-pl-3/13,
108,9156126,https://www.reebonz.co.kr/events/28635/products/9156126/section/w-event_group-pl-3/14,
109,9157546,https://www.reebonz.co.kr/events/28635/products/9157546/section/w-event_group-pl-2/20,
110,9165260,https://www.reebonz.co.kr/events/28635/products/9165260/section/w-event_group-pl-2/21,
111,9165264,https://www.reebonz.co.kr/events/28635/products/9165264/section/w-event_group-pl-2/22,
112,9165265,https://www.reebonz.co.kr/events/28635/products/9165265/section/w-event_group-pl-2/23,
113,9165415,https://www.reebonz.co.kr/events/28635/products/9165415/section/w-event_group-pl-2/24,
114,9165717,https://www.reebonz.co.kr/events/28635/products/9165717/section/w-event_group-pl-2/28,
115,9194082,https://www.reebonz.co.kr/events/28635/products/9194082/section/w-event_group-pl-1/3,
116,9194226,https://www.reebonz.co.kr/products/9194226,
117,9194457,https://www.reebonz.co.kr/products/9194457,
118,9200292,https://www.reebonz.co.kr/events/28635/products/9200292/section/w-event_group-pl-1/14,
119,9200305,https://www.reebonz.co.kr/events/28635/products/9200305/section/w-event_group-pl-1/13,
120,9202512,https://www.reebonz.co.kr/events/28635/products/9202512/section/w-event_group-pl-1/6,
121,9225494,https://www.reebonz.co.kr/events/28635/products/9225494/section/w-event_group-pl-1/41,
122,9227555,https://www.reebonz.co.kr/events/28635/products/9227555/section/w-event_group-pl-1/37,
123,9253440,https://www.reebonz.co.kr/events/28635/products/9253440/section/w-event_group-pl-1/1,
124,9259010,https://www.reebonz.co.kr/events/28635/products/9259010/section/w-event_group-pl-1/2,
125,9261450,https://www.reebonz.co.kr/events/28635/products/9261450/section/w-event_group-pl-1/31,
