상품번호,상품명_기본,자체상품코드,카테고리 코드,이미지 저장소,이미지 경로,페이스북 광고 제품 피드 이미지명
1000002631,이자벨마랑 화이트 스니커즈,9508719,"002003001
002
002003
003
003003
003003001",url,20/07/30/1000002631/,https://koodonkr.hgodo.com/reebonz_facebook_img/9508719.jpg
1000002632,샤넬 시즌 체인 숄더백,9504632,"003002002
003
003002
003002005",url,20/07/30/1000002632/,https://koodonkr.hgodo.com/reebonz_facebook_img/9504632.jpg
1000002633,마르니 그레이 트렁크백,9504662,"003002002
003
003002
003002005",url,20/07/30/1000002633/,https://koodonkr.hgodo.com/reebonz_facebook_img/9504662.jpg
1000002634,메종 마틴 마르지엘라 브라운 5AC 미니 숄더백,9540708,"003002002
003
003002
003002003",url,20/07/30/1000002634/,https://koodonkr.hgodo.com/reebonz_facebook_img/9540708.jpg
1000002635,루이비통 마이락미 체인 숄더백,9540717,"003002002
003
003002
003002005",url,20/07/30/1000002635/,https://koodonkr.hgodo.com/reebonz_facebook_img/9540717.jpg
1000002636,루이비통 브라운 베로나 MM 숄더백,9589913,"003002002
003
003002
003002003",url,20/07/30/1000002636/,https://koodonkr.hgodo.com/reebonz_facebook_img/9589913.jpg
1000002637,구찌 블랙 소호 디스코 크로스백,9529074,"003002005
003
003002",url,20/07/30/1000002637/,https://koodonkr.hgodo.com/reebonz_facebook_img/9529074.jpg
1000002638,발렌티노 블랙 페이던트 샌들 힐,9529271,"003003002
003
003003
003003004",url,20/07/30/1000002638/,https://koodonkr.hgodo.com/reebonz_facebook_img/9529271.jpg
1000002639,멀버리 페이던트 베이스워터 토트백,9529301,"003002003
003
003002",url,20/07/30/1000002639/,https://koodonkr.hgodo.com/reebonz_facebook_img/9529301.jpg
1000002640,멀버리 버팔로 베이스워터 토트백,9534760,"003002003
003
003002",url,20/07/30/1000002640/,https://koodonkr.hgodo.com/reebonz_facebook_img/9534760.jpg
1000002641,발렌티노 탑 핸들 투웨이 토트백,9534768,"003002003
003
003002
003002002",url,20/07/30/1000002641/,https://koodonkr.hgodo.com/reebonz_facebook_img/9534768.jpg
1000002643,발렌티노 블랙 투웨이 숄더백,9589944,"003002002
003
003002
003002003",url,20/07/30/1000002643/,https://koodonkr.hgodo.com/reebonz_facebook_img/9589944.jpg
1000002645,버버리 베이지 쇼퍼 숄더백,9593204,"003002002
003
003002
003002003",url,20/07/30/1000002645/,https://koodonkr.hgodo.com/reebonz_facebook_img/9593204.jpg
1000002646,버버리 베이지 호보 숄더백,9593126,"003002002
003
003002
003002003",url,20/07/30/1000002646/,https://koodonkr.hgodo.com/reebonz_facebook_img/9593126.jpg
1000002647,버버리 해이 마켓 투웨이 토트백,9593091,"003002003
003
003002
003002002",url,20/07/30/1000002647/,https://koodonkr.hgodo.com/reebonz_facebook_img/9593091.jpg
1000002648,멀버리 블루 베이스워터 토트백,9594633,"003002003
003
003002",url,20/07/30/1000002648/,https://koodonkr.hgodo.com/reebonz_facebook_img/9594633.jpg
1000002649,멀버리 퍼플 베이스워터 토트백,9595074,"003002003
003
003002",url,20/07/30/1000002649/,https://koodonkr.hgodo.com/reebonz_facebook_img/9595074.jpg
